,clTrackID,timepoint,rel_time,rel_r,r_squared,circle_radius,radius_velocity,radius_acceleration,wave_centroid,cell_density,ca_avg_sig,split,trackable,drug_name,drug_dose,volunteer_ID,wave_ID,image_ID,real_time
111,2,169,20,250.9482952749997,62975.04690142844,293.237797237154,0.8647704047587126,-0.0334799023139186,[187.77385445 225.15002586],6642.218576947915,456.5784628013,0.0,True,,,17,37-2,37,100.0
112,2,170,21,254.80766488158488,64926.946082406066,297.09716684373916,0.6552750467310033,-0.0111023406551811,[187.25254386 227.0035305 ],6633.780441978258,459.2467304855187,0.0,True,,,17,37-2,37,105.0
113,2,171,22,257.5010457423097,66306.78855838308,299.790547704464,0.7537469982069013,0.0171488222825968,[186.67181772 228.46497307],6614.091460382393,463.27484997393265,0.0,True,,,17,37-2,37,110.0
114,2,172,23,262.34513486365387,68824.96978662873,304.6346368258082,0.8267632695569717,-0.0041737488453901,[186.58453954 229.23552591],6608.466037069289,469.58011558385374,0.0,True,,,17,37-2,37,115.0
115,2,173,24,265.76867843787943,70632.99043861697,308.05818040003373,0.7120095097529997,-0.012668790210231,[186.68595642 229.82382719],6585.964343816871,469.1513017049174,0.0,True,,,17,37-2,37,120.0
116,2,174,25,269.46522996118387,72611.5101580337,311.75473192333817,0.7000753674546616,0.0204168531011617,[186.13243117 230.2681086 ],6607.059681241013,468.4335170990894,0.0,True,,,17,37-2,37,125.0
117,2,175,26,272.76943211242605,74403.1630949354,315.05893407458035,0.9161780407646176,0.0448168593163637,[185.43840755 230.79212816],6573.307141362387,469.5477476678018,0.0,True,,,17,37-2,37,130.0
118,2,176,27,278.62701036883004,77633.01090707212,320.91651233098435,1.1482439606182993,0.0231904556803562,[184.5843647  231.15290197],6550.80544810997,470.81635256403143,0.0,True,,,17,37-2,37,135.0
119,2,177,28,284.25187171860904,80799.12657553257,326.54137368076334,1.1480825975681797,-0.000492930344821,[183.52595987 231.41585321],6547.992736453418,472.2210957171856,0.0,True,,,17,37-2,37,140.0
120,2,178,29,290.10783634451184,84162.55670849407,332.39733830666614,1.1433146571700887,-0.0126905064325092,[182.8115504  232.03366731],6543.773668968589,470.73851648900177,1.0,True,,,17,37-2,37,145.0
121,2,179,30,295.6850182903099,87429.63004134092,337.97452025246423,1.0211775332430877,-0.0198047691154425,[181.89865486 232.96125546],6538.148245655485,469.4280484964116,1.0,True,,,17,37-2,37,150.0
