,volunteer,seed_density,well_id,position,target_id,cell_num,target_size,cells_to_target,measured_density
165,17,6m,w3,p3,t4,443.48249883325553,2953.6100000000006,0.15014930841690521,6776.8595041322305
166,17,6m,w3,p4,t1,465.268432919955,4061.9700000000007,0.11454255765551073,4343.434343434343
167,17,6m,w3,p4,t2,537.5222206446117,3401.3100000000004,0.15803388125299125,6473.8292011019275
168,17,6m,w3,p4,t3,664.2349463843829,3570.7100000000005,0.1860232128580542,7897.153351698806
169,17,6m,w3,p4,t4,450.60132663815006,2836.2400000000002,0.1588727775640108,7511.478420569329
170,17,6m,w3,p5,t1,644.3377576955662,4325.750000000001,0.14895399819581948,8512.396694214875
171,17,6m,w3,p5,t2,386.07000262674023,3394.0500000000006,0.11374906163042388,7226.813590449953
172,17,6m,w3,p5,t3,488.3488562091503,3417.0400000000004,0.14291575638832155,6051.423324150596
173,17,6m,w3,p5,t4,583.7588681849554,3539.2500000000005,0.164938579694838,7621.671258034894
174,8,3m,w1,p2,t1,327.26511172438353,3229.4900000000007,0.10133646852115456,4499.540863177226
175,8,3m,w1,p2,t2,349.30692658647865,3909.5100000000007,0.08934800693347213,5068.870523415978
176,8,3m,w1,p2,t3,325.44933655006025,3234.3300000000004,0.10062341707557987,5629.017447199265
177,8,3m,w1,p2,t4,449.82745973528944,2573.6700000000005,0.17478055062820383,5693.296602387511
178,8,3m,w1,p3,t1,335.46534363085345,3611.8500000000004,0.0928790906684534,5151.515151515151
179,8,3m,w1,p3,t2,402.3050919528011,3496.9000000000005,0.11504621005828049,4664.830119375573
180,8,3m,w1,p3,t3,340.26488391001897,3705.0200000000004,0.09183887911806655,3645.5463728191
181,8,3m,w1,p3,t4,469.7760933580543,2983.8600000000006,0.1574390532257057,5601.469237832874
182,8,3m,w1,p4,t1,356.1239614803626,2757.5900000000006,0.12914318715993403,3865.9320477502292
183,8,3m,w1,p4,t2,336.24977022058823,2816.8800000000006,0.11936957563708364,5004.591368227731
184,8,3m,w1,p4,t3,375.26484549065185,2805.9900000000002,0.1337370573275927,4325.068870523415
185,8,3m,w1,p4,t4,365.7069286645557,3617.9000000000005,0.10108265255108091,4086.3177226813586
186,8,3m,w1,p5,t1,305.06869461953045,3627.5800000000004,0.08409702739003148,4352.6170798898065
187,8,3m,w1,p5,t2,287.4655832191619,3680.8200000000006,0.07809824528750708,4352.6170798898065
188,8,3m,w1,p5,t3,340.3403104656985,3303.3000000000006,0.10303039701683119,5794.306703397612
189,8,3m,w1,p5,t4,310.2491867915229,2727.3400000000006,0.11375522919457157,5922.865013774104
190,8,10m,w2,p1,t1,541.8604076590486,3809.0800000000004,0.14225492970981143,10679.522497704314
191,8,10m,w2,p1,t2,415.9307084391758,3378.3200000000006,0.12311761717042072,11414.141414141413
192,8,10m,w2,p1,t3,538.6224020851911,3263.3700000000003,0.16505097555140577,11276.400367309458
193,8,10m,w2,p1,t4,378.8739513422819,2749.1200000000003,0.13781644720575378,9577.594123048668
194,8,10m,w2,p2,t1,559.730407124682,2870.1200000000003,0.19501986227916668,11505.96877869605
195,8,10m,w2,p2,t2,423.71808240081384,2985.0700000000006,0.14194577762022792,11028.466483011936
196,8,10m,w2,p2,t3,462.5904236169447,2260.28,0.2046606719596442,11359.04499540863
197,8,10m,w2,p2,t4,426.05354993983156,3276.6800000000003,0.13002598665107107,11707.988980716253
198,8,10m,w2,p3,t1,511.33778873604984,3819.9700000000007,0.13385911112811089,10936.639118457299
199,8,10m,w2,p3,t2,462.5599778116766,3047.9900000000007,0.15175902080114323,11616.161616161615
200,8,10m,w2,p3,t3,450.0309089836607,3315.4000000000005,0.13573955148207173,11037.649219467401
201,8,10m,w2,p3,t4,527.4364086525932,2358.2900000000004,0.2236520566395961,10899.908172635443
202,8,10m,w2,p4,t1,474.9544499868732,2455.0900000000006,0.1934570423026745,11248.852157943065
203,8,10m,w2,p4,t2,444.7587740635207,3803.0300000000007,0.11694853158232268,11202.938475665747
204,8,10m,w2,p4,t3,558.8371767104089,3983.3200000000006,0.1402943214982499,10918.273645546371
205,8,10m,w2,p4,t4,514.9325003395355,2989.9100000000003,0.17222341152059276,11570.247933884297
206,8,10m,w2,p5,t1,486.6779728651236,4433.4400000000005,0.1097743451733019,11157.02479338843
207,8,10m,w2,p5,t2,306.6,3210.1300000000006,0.09551015067925597,11671.258034894397
208,8,10m,w2,p5,t3,477.2447910168434,3621.5300000000007,0.13177988060760046,11258.03489439853
209,8,10m,w2,p5,t4,535.2385794071315,2841.0800000000004,0.1883926462497119,11478.420569329659
210,8,6m,w3,p1,t1,481.2409510126524,3737.6900000000005,0.12875357534002346,6850.321395775941
211,8,6m,w3,p1,t2,298.7129886184407,3300.8800000000006,0.09049495547200766,5215.7943067033975
212,8,6m,w3,p1,t3,337.214899455666,3252.4800000000005,0.10367931530883079,5987.14416896235
213,8,6m,w3,p1,t4,416.7236023454635,2624.4900000000002,0.15878269772240072,6593.204775022956
214,8,6m,w3,p2,t1,411.935725458596,3049.2000000000003,0.13509632869559096,7695.133149678603
215,8,6m,w3,p2,t2,361.1558707643814,3588.8600000000006,0.10063247682115807,7805.325987144168
216,8,6m,w3,p2,t3,384.24913957934984,2814.4600000000005,0.13652677230422525,7502.295684113865
